urlid,label
4042,2.675815065644873e-84
8471,4.3988132069226436e-21
1164,0.999997177887852
6684,0.9996368415782634
9006,2.264111849224438e-149
7018,3.4755952822057194e-13
8685,1.5901477865560293e-17
3402,3.818773788846119e-18
477,1.0836634744121124e-15
6731,1.0
2293,3.578178003516831e-26
3651,1.5533908458532003e-33
1917,2.817567419626941e-10
1063,4.1581749796769713e-23
2110,1.0
5318,5.840510948300357e-33
9842,2.5933269159167477e-22
3946,1.8242654509174654e-27
334,1.0
271,3.3210637448994315e-05
6984,6.15737991165037e-30
8979,1.171740525999276e-15
1502,3.7124999109468506e-13
8945,1.0
2839,4.1581749796769713e-23
1499,3.448339892497245e-25
7298,1.5651802960717364e-47
3294,1.0
2949,9.388340859681756e-21
4156,6.495570110071483e-28
1391,0.9417228057171269
2152,1.0
8004,2.5533279816958718e-05
2807,7.410844853354114e-08
497,1.0
3201,7.682244172280051e-29
6704,1.0
1650,1.6288151942785764e-15
3561,9.149927308658273e-06
10154,0.9994768360554177
7461,2.4758740057033853e-51
4064,1.0
8138,8.531580776214178e-17
383,1.0
1754,2.060278995582784e-29
5053,6.9263605602720076e-40
4881,1.8883356729696545e-60
5483,4.374001166766638e-14
4089,2.3620078791108356e-32
4781,1.6310991009199077e-52
6657,1.0245779060302782e-54
4763,1.425340978818127e-07
5354,2.6223525816577764e-25
8579,1.0
3880,1.7701885245275046e-05
7053,4.1581749796769713e-23
6006,1.0
8197,6.946626533016149e-72
9259,2.3633881427823516e-26
1656,0.0007414216412512296
6410,1.0
10530,1.0048727760179665e-23
8262,1.0
5526,1.0
1033,0.9767660840137627
7822,1.0
10119,2.4075118434415187e-49
10207,1.0
8796,2.3643110917561306e-27
9297,1.0
3692,1.0156912285944207e-63
6928,0.9345937424365597
4783,3.233032122268387e-14
2989,4.5629792338680157e-23
4981,1.0
8198,0.9999999905323875
5039,1.0
8513,1.0
8073,4.1581749796769713e-23
6886,1.875247007535413e-13
10159,5.006064070417497e-21
6514,1.0
4265,1.3549915280931198e-23
7021,0.4952382992758205
8949,4.557015946716622e-25
7846,1.3736370154471552e-26
7275,2.2347921617545406e-19
1675,1.0
1641,2.0015344858061224e-06
8747,1.0
8438,4.1581749796769713e-23
4467,0.9930143239611056
9109,7.684285909460672e-41
1020,7.02043339270391e-26
3554,3.1872142388617913e-09
6167,7.87294558302777e-18
3738,6.3345831153984e-23
9791,4.1581749796769713e-23
2180,7.781304098964729e-17
6153,2.204734940325508e-21
7474,0.9999973007542785
5592,0.00043907722601462
8568,1.440886625657242e-32
8131,1.0
10182,1.0
741,2.8869708065010495e-05
1080,1.784846434197686e-17
2749,2.8372632301160388e-12
9685,0.9999999997018563
1659,1.0
7079,1.0
2557,1.0
2331,0.4148324842991531
6322,1.0
1961,4.915412381213856e-24
4260,9.261334252019295e-27
3041,1.0
8364,1.0457869254379482e-24
8550,3.1820988780989576e-13
8577,1.0
5568,1.0
9780,1.1701824845322793e-26
6500,9.048950048500128e-36
9409,1.0
2528,1.6880314021891806e-25
1014,1.0
6420,1.0270093741090043e-32
3482,1.0
5906,7.063783535796611e-31
8202,1.0
2814,1.0
1536,3.744109535860748e-37
709,5.503203218290088e-20
7212,1.0
1867,1.0
7936,1.2036569866061524e-57
6995,1.7755841903129008e-49
2399,3.6184199634677e-11
593,3.2142178442587396e-33
8483,4.124379445126271e-72
2030,1.0
7230,1.0
6289,1.0
4656,4.1581749796769713e-23
8588,9.862478883908564e-30
203,2.7389155141698717e-25
7906,2.751800863913015e-23
6943,1.0
552,1.0
2198,1.0
10515,1.0
4384,1.0
9396,1.4605252479028594e-72
10384,1.818566513822757e-29
2867,4.1581749796769713e-23
1883,1.0
9079,4.1581749796769713e-23
4751,4.1581749796769713e-23
770,1.0
843,1.2118958158029526e-27
9834,1.5542757246384385e-33
4668,1.8229774171015776e-41
10080,3.9585736101184254e-52
5834,0.9999999815759113
10338,1.0
304,0.999999999960437
2927,1.0
3033,5.639898433324625e-16
7136,1.4142072457899869e-24
6807,4.1581749796769713e-23
5278,1.0
3992,4.957504775018587e-28
3725,1.0
8016,0.9999996129946179
6151,4.408278311185252e-15
1914,4.1581749796769713e-23
6259,1.0
3043,8.894400990764942e-05
3955,1.8642185029903584e-32
9157,7.056301096342286e-46
3079,1.0
3042,4.393069938776925e-27
359,5.894866587300562e-17
4542,3.626306662809717e-29
6589,6.4695193481454766e-18
6232,4.9786849915115574e-15
7748,1.5819662763423522e-20
4043,1.029660356479513e-34
6331,1.0
1482,1.0
6521,5.461202758993942e-46
1106,1.0
6127,1.9833570671394556e-34
3112,1.0
2410,3.298237603334399e-24
6327,5.203460265280739e-52
7821,0.9895555205057825
4877,1.9175916671566678e-21
5236,7.708480834981393e-15
3470,6.305430149865392e-11
9037,4.1581749796769713e-23
4627,4.1581749796769713e-23
1491,2.206515483535683e-27
8337,4.06798071084616e-13
9578,3.9556827370824563e-45
4212,4.591863246010461e-41
8234,9.165708803837953e-16
1776,1.0
2551,1.5689179883402994e-23
1594,1.0
9347,1.2401809693731278e-41
5004,2.994646016567105e-33
9182,5.442179806335712e-16
